Data_Hash	Braid_ID	Signed	MIME_Type	Attribued_To	Created_At
ea4e4a5ae3f04ec77fad7d08223bfcd5bd5a316d6ee95b8f39cb57dce44e9895	urn:braid:ea4e4a5ae3f04ec77fad7d08223bfcd5bd5a316d6ee95b8f39cb57dce44e9895	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786526136498982710
90a515353858427172747a66105a58524b1c4f5ffe0967371f2c01623177f622	urn:braid:90a515353858427172747a66105a58524b1c4f5ffe0967371f2c01623177f622	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786525158445257409
d43b32f560e3de07f668fa2865eb91a051e53936999120163ac0c4bf3f56bac2	urn:braid:d43b32f560e3de07f668fa2865eb91a051e53936999120163ac0c4bf3f56bac2	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786524193753775520
3d04fe9b20bc633632abf379ff87319810ffe9228c67bd292302e32938fa0563	urn:braid:3d04fe9b20bc633632abf379ff87319810ffe9228c67bd292302e32938fa0563	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786523203918401744
e1638ee5685316655ed6ac4889ef1fcf4185dfddacd38e370fffcb3c9baa2746	urn:braid:e1638ee5685316655ed6ac4889ef1fcf4185dfddacd38e370fffcb3c9baa2746	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786522210410558396
36dfaf9bef3a28426cbc12ad46293e1513b2017567cf1ba4540522da9f8c26b3	urn:braid:36dfaf9bef3a28426cbc12ad46293e1513b2017567cf1ba4540522da9f8c26b3	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786521175197254323
541fb9f557ea12e14bd175a7eb4daf72b8ce9cc73fb9a85b31daa79f982ad0b9	urn:braid:541fb9f557ea12e14bd175a7eb4daf72b8ce9cc73fb9a85b31daa79f982ad0b9	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786520155210507407
d92669caeb576b95ae4cd4b0344203629eda6d6d2e92b835c39f51be1aa84a3d	urn:braid:d92669caeb576b95ae4cd4b0344203629eda6d6d2e92b835c39f51be1aa84a3d	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786519079491738206
9b5ad7e136a94213432ecb3e76b37c00ee93b28ec6828fde6a020818b557a356	urn:braid:9b5ad7e136a94213432ecb3e76b37c00ee93b28ec6828fde6a020818b557a356	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786504794292991998
b00c4f61b7296389d6f75a993bfadcb74746eb97d1d21577a1cbf5b98b68ee98	urn:braid:b00c4f61b7296389d6f75a993bfadcb74746eb97d1d21577a1cbf5b98b68ee98	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786504792629568658
6e781c9c633123df0bb023f60472e6aae3dea4a9ff406ee6ff789f2af3b400b4	urn:braid:6e781c9c633123df0bb023f60472e6aae3dea4a9ff406ee6ff789f2af3b400b4	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786504792560121867
